Timestamp,Date,Total Upcoming Unlock Value
1749312000,2025-06-07,175172425.6013094
1749916800,2025-06-14,479908990.7024883
1750521600,2025-06-21,117062128.64010282
1751126400,2025-06-28,420647702.37936443
1751731200,2025-07-05,4172686.6600456624
